,,,,,,
,,,,,,
,,,,,,
2023 Worldwide Box Office,,,,,,
2023,,,,,,
Rank,Release Group,Worldwide,Domestic,%,Foreign,%
162,Beau Is Afraid,"$12,337,378","$8,176,562",66.30%,"$4,160,816",33.70%
163,The Shift,"$12,238,643","$12,118,219",99%,"$120,424",1%
164,Salaar,"$11,958,548","$8,929,282",74.70%,"$3,029,266",25.30%
165,After Death,"$11,830,860","$11,478,326",97%,"$352,534",3%
166,Tiger 3,"$11,713,932","$5,365,263",45.80%,"$6,348,669",54.20%
167,Face Off 6: The Ticket of Destiny,"$11,538,081",-,-,"$11,538,081",100%
168,Jungle Bunch: Operation Meltdown,"$11,505,418","$831,200",7.20%,"$10,674,218",92.80%
169,Silent Night,"$11,067,228","$8,012,103",72.40%,"$3,055,125",27.60%
170,What's Love Got to Do with It?,"$11,065,050",-,-,"$11,065,050",100%
171,Sleep,"$11,022,466",-,-,"$11,022,466",100%
172,Samurai Beyond Admiration Record to the World's Best,"$10,876,188",-,-,"$10,876,188",100%
173,Honey Sweet,"$10,766,032",-,-,"$10,766,032",100%
174,The Machine,"$10,664,328","$10,458,331",98.10%,"$205,997",1.90%
175,After Everything,"$10,644,463",-,-,"$10,644,463",100%
176,The Crime Is Mine,"$10,432,369","$122,083",1.20%,"$10,310,286",98.80%
177,The Nightmare Before Christmas 30th Anniversary Re-Release,"$10,431,631","$10,251,956",98.30%,"$179,675",1.70%
178,The Great Escaper,"$10,265,608",-,-,"$10,265,608",100%
179,Freelance,"$10,197,391","$5,314,136",52.10%,"$4,883,255",47.90%
180,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
181,Cobweb,"$10,091,821",-,-,"$10,091,821",100%
182,The Peasants,"$10,052,539","$155,188",1.50%,"$9,897,351",98.50%
183,The Taste of Things,"$9,973,327","$2,654,510",26.60%,"$7,318,817",73.40%
184,Talk to Her Undated France Release,"$9,550,733",-,-,"$9,549,770",100%
185,Kandahar,"$9,387,311","$4,813,132",51.30%,"$4,574,179",48.70%
